Date_,Year_,Month_,Day_,Mean_temp,Total_Precip,Season,Rain,Snow
2018-01-31,"2,018",1,31,-7,1,Winter,No,Yes
2018-01-30,"2,018",1,30,-11,0,Winter,No,No
2018-01-29,"2,018",1,29,-4,5,Winter,No,Yes
2018-01-28,"2,018",1,28,1,0,Winter,No,No
2018-01-27,"2,018",1,27,5,2,Winter,Yes,No
2018-01-26,"2,018",1,26,2,0,Winter,No,No
2018-01-25,"2,018",1,25,-7,0,Winter,No,No
2018-01-24,"2,018",1,24,-8,0,Winter,No,No
2018-01-23,"2,018",1,23,1,3,Winter,Yes,No
2018-01-22,"2,018",1,22,2,14,Winter,Yes,No
2018-01-21,"2,018",1,21,1,1,Winter,Yes,No
2018-01-20,"2,018",1,20,3,0,Winter,No,No
2018-01-19,"2,018",1,19,-2,0,Winter,No,No
2018-01-18,"2,018",1,18,-7,0,Winter,No,No
2018-01-17,"2,018",1,17,-10,0,Winter,No,No
2018-01-16,"2,018",1,16,-7,1,Winter,No,Yes
2018-01-15,"2,018",1,15,-8,4,Winter,No,Yes
2018-01-14,"2,018",1,14,-12,0,Winter,No,No
2018-01-13,"2,018",1,13,-14,0,Winter,No,No
2018-01-12,"2,018",1,12,0,14,Winter,Yes,Yes
2018-01-11,"2,018",1,11,9,7,Winter,Yes,No
2018-01-10,"2,018",1,10,1,3,Winter,Yes,No
2018-01-09,"2,018",1,9,-1,0,Winter,No,No
2018-01-08,"2,018",1,8,0,4,Winter,Yes,Yes
2018-01-07,"2,018",1,7,-12,0,Winter,No,No
2018-01-06,"2,018",1,6,-20,0,Winter,No,No
2018-01-05,"2,018",1,5,-19,0,Winter,No,No
2018-01-04,"2,018",1,4,-15,0,Winter,No,No
2018-01-03,"2,018",1,3,-10,0,Winter,No,No
2018-01-02,"2,018",1,2,-11,1,Winter,No,Yes
2018-01-01,"2,018",1,1,-15,0,Winter,No,No
2017-01-31,"2,017",1,31,-4,2,Winter,No,Yes
2017-01-30,"2,017",1,30,-8,0,Winter,No,No
2017-01-29,"2,017",1,29,-5,0,Winter,No,No
2017-01-28,"2,017",1,28,-2,0,Winter,No,Yes
2017-01-27,"2,017",1,27,0,0,Winter,No,No
2017-01-26,"2,017",1,26,2,2,Winter,Yes,No
2017-01-25,"2,017",1,25,2,1,Winter,Yes,No
2017-01-24,"2,017",1,24,0,0,Winter,No,No
2017-01-23,"2,017",1,23,2,0,Winter,No,No
2017-01-22,"2,017",1,22,4,0,Winter,No,No
2017-01-21,"2,017",1,21,4,0,Winter,No,No
2017-01-20,"2,017",1,20,2,0,Winter,No,No
2017-01-19,"2,017",1,19,2,0,Winter,No,No
2017-01-18,"2,017",1,18,2,0,Winter,No,No
2017-01-17,"2,017",1,17,1,12,Winter,Yes,No
2017-01-16,"2,017",1,16,-2,0,Winter,No,No
2017-01-15,"2,017",1,15,-4,0,Winter,No,No
2017-01-14,"2,017",1,14,-6,0,Winter,No,No
2017-01-13,"2,017",1,13,-5,0,Winter,No,No
2017-01-12,"2,017",1,12,3,10,Winter,Yes,No
2017-01-11,"2,017",1,11,4,6,Winter,Yes,No
2017-01-10,"2,017",1,10,2,19,Winter,Yes,Yes
2017-01-09,"2,017",1,9,-6,0,Winter,No,No
2017-01-08,"2,017",1,8,-11,0,Winter,No,No
2017-01-07,"2,017",1,7,-11,0,Winter,No,No
2017-01-06,"2,017",1,6,-10,0,Winter,No,No
2017-01-05,"2,017",1,5,-9,0,Winter,No,No
2017-01-04,"2,017",1,4,-3,0,Winter,No,No
2017-01-03,"2,017",1,3,3,16,Winter,Yes,No
2017-01-02,"2,017",1,2,0,0,Winter,No,No
2017-01-01,"2,017",1,1,0,0,Winter,No,No
2016-01-31,"2,016",1,31,6,3,Winter,Yes,No
2016-01-30,"2,016",1,30,-1,0,Winter,No,No
2016-01-29,"2,016",1,29,-6,0,Winter,No,No
2016-01-28,"2,016",1,28,0,1,Winter,No,Yes
2016-01-27,"2,016",1,27,-1,0,Winter,No,No
2016-01-26,"2,016",1,26,4,0,Winter,No,No
2016-01-25,"2,016",1,25,1,0,Winter,No,No
2016-01-24,"2,016",1,24,-6,0,Winter,No,No
2016-01-23,"2,016",1,23,-8,0,Winter,No,No
2016-01-22,"2,016",1,22,-7,0,Winter,No,No
2016-01-21,"2,016",1,21,-7,0,Winter,No,Yes
2016-01-20,"2,016",1,20,-6,0,Winter,No,No
2016-01-19,"2,016",1,19,-9,0,Winter,No,No
2016-01-18,"2,016",1,18,-10,2,Winter,No,Yes
2016-01-17,"2,016",1,17,-5,0,Winter,No,No
2016-01-16,"2,016",1,16,-1,1,Winter,Yes,No
2016-01-15,"2,016",1,15,1,2,Winter,Yes,No
2016-01-14,"2,016",1,14,-5,0,Winter,No,No
2016-01-13,"2,016",1,13,-9,0,Winter,No,No
2016-01-12,"2,016",1,12,-6,4,Winter,No,Yes
2016-01-11,"2,016",1,11,-8,0,Winter,No,No
2016-01-10,"2,016",1,10,0,18,Winter,Yes,No
2016-01-09,"2,016",1,9,6,2,Winter,Yes,No
2016-01-08,"2,016",1,8,-1,3,Winter,Yes,No
2016-01-07,"2,016",1,7,-1,0,Winter,No,No
2016-01-06,"2,016",1,6,-2,0,Winter,No,No
2016-01-05,"2,016",1,5,-9,0,Winter,No,No
2016-01-04,"2,016",1,4,-13,0,Winter,No,No
2016-01-03,"2,016",1,3,-5,0,Winter,No,No
2016-01-02,"2,016",1,2,-2,0,Winter,No,No
2016-01-01,"2,016",1,1,-2,1,Winter,No,Yes
2015-01-31,"2,015",1,31,-10,0,Winter,No,No
2015-01-30,"2,015",1,30,-9,0,Winter,No,No
2015-01-29,"2,015",1,29,-4,6,Winter,No,Yes
2015-01-28,"2,015",1,28,-7,0,Winter,No,No
2015-01-27,"2,015",1,27,-9,0,Winter,No,Yes
2015-01-26,"2,015",1,26,-11,0,Winter,No,No
2015-01-25,"2,015",1,25,-8,0,Winter,No,No
2015-01-24,"2,015",1,24,-3,0,Winter,No,No
2015-01-23,"2,015",1,23,-2,,Winter,No,No
2015-01-22,"2,015",1,22,-4,0,Winter,No,No
2015-01-21,"2,015",1,21,-8,0,Winter,No,No
2015-01-20,"2,015",1,20,-10,0,Winter,No,No
2015-01-19,"2,015",1,19,-5,0,Winter,No,No
2015-01-18,"2,015",1,18,3,0,Winter,No,No
2015-01-17,"2,015",1,17,-6,0,Winter,No,Yes
2015-01-16,"2,015",1,16,-9,0,Winter,No,No
2015-01-15,"2,015",1,15,-8,0,Winter,No,No
2015-01-14,"2,015",1,14,-10,0,Winter,No,No
2015-01-13,"2,015",1,13,-16,0,Winter,No,No
2015-01-12,"2,015",1,12,-9,1,Winter,No,Yes
2015-01-11,"2,015",1,11,-6,,Winter,No,No
2015-01-10,"2,015",1,10,-13,0,Winter,No,No
2015-01-09,"2,015",1,9,-10,2,Winter,No,Yes
2015-01-08,"2,015",1,8,-13,1,Winter,No,Yes
2015-01-07,"2,015",1,7,-14,0,Winter,No,No
2015-01-06,"2,015",1,6,-11,0,Winter,No,No
2015-01-05,"2,015",1,5,-10,1,Winter,No,Yes
2015-01-04,"2,015",1,4,-1,7,Winter,Yes,No
2015-01-03,"2,015",1,3,-2,11,Winter,Yes,Yes
2015-01-02,"2,015",1,2,-4,1,Winter,No,No
2015-01-01,"2,015",1,1,-5,0,Winter,No,No
2014-01-31,"2,014",1,31,-2,0,Winter,No,No
2014-01-30,"2,014",1,30,-8,0,Winter,No,No
2014-01-29,"2,014",1,29,-14,0,Winter,No,No
2014-01-28,"2,014",1,28,-16,0,Winter,No,No
2014-01-27,"2,014",1,27,-11,2,Winter,No,Yes
2014-01-26,"2,014",1,26,-12,1,Winter,No,Yes
2014-01-25,"2,014",1,25,-10,4,Winter,No,Yes
2014-01-24,"2,014",1,24,-14,1,Winter,No,Yes
2014-01-23,"2,014",1,23,-17,0,Winter,No,No
2014-01-22,"2,014",1,22,-18,0,Winter,No,No
2014-01-21,"2,014",1,21,-19,0,Winter,No,No
2014-01-20,"2,014",1,20,-10,1,Winter,No,Yes
2014-01-19,"2,014",1,19,-6,1,Winter,No,Yes
2014-01-18,"2,014",1,18,-6,1,Winter,No,Yes
2014-01-17,"2,014",1,17,-1,2,Winter,No,Yes
2014-01-16,"2,014",1,16,-3,2,Winter,No,Yes
2014-01-15,"2,014",1,15,-3,0,Winter,No,No
2014-01-14,"2,014",1,14,2,0,Winter,No,No
2014-01-13,"2,014",1,13,4,1,Winter,Yes,No
2014-01-12,"2,014",1,12,1,0,Winter,No,No
2014-01-11,"2,014",1,11,4,8,Winter,Yes,No
2014-01-10,"2,014",1,10,-3,3,Winter,Yes,Yes
2014-01-09,"2,014",1,9,-11,0,Winter,No,No
2014-01-08,"2,014",1,8,-13,0,Winter,No,No
2014-01-07,"2,014",1,7,-21,0,Winter,No,No
2014-01-06,"2,014",1,6,-9,5,Winter,Yes,Yes
2014-01-05,"2,014",1,5,-1,14,Winter,Yes,Yes
2014-01-04,"2,014",1,4,-5,0,Winter,No,No
2014-01-03,"2,014",1,3,-17,0,Winter,No,No
2014-01-02,"2,014",1,2,-18,1,Winter,No,Yes
2014-01-01,"2,014",1,1,-13,0,Winter,No,No
2013-01-01,2013,1,1,-2.1,66.4,Winter,Yes,Yes
2012-01-01,2012,1,1,-1.7,54.2,Winter,Yes,Yes
2011-01-01,2011,1,1,-7,42,Winter,Yes,Yes
2010-01-01,2010,1,1,-5.2,24.4,Winter,Yes,Yes
2009-01-01,2009,1,1,-8.8,44.4,Winter,Yes,Yes
2008-01-01,2008,1,1,-2.1,58.2,Winter,Yes,Yes
2007-01-01,2007,1,1,-2.9,38.6,Winter,Yes,Yes
2006-01-01,2006,1,1,0.2,74.6,Winter,Yes,Yes
2005-01-01,2005,1,1,-6.8,70.4,Winter,Yes,Yes
2004-01-01,2004,1,1,-9.4,49.6,Winter,Yes,Yes
2003-01-01,2003,1,1,-8.3,35.4,Winter,No,Yes
2002-01-01,2002,1,1,-0.5,46.2,Winter,Yes,Yes
2001-01-01,2001,1,1,-4.1,31.2,Winter,Yes,Yes
2000-01-01,2000,1,1,-5.8,29.2,Winter,Yes,Yes
1999-01-01,1999,1,1,-6.2,107,Winter,Yes,Yes
1998-01-01,1998,1,1,-2.2,97.2,Winter,Yes,Yes
1997-01-01,1997,1,1,-6.4,64.6,Winter,Yes,Yes
